priority,due_date,scope,evidence,action,guardrail,status
P0,2026-09-15,全站推广省心版,"总预算10000元；60天保效；投放1天；极致拿量",锁定期只读监控且不补预算不终止,"任何终止/预算变更先确认保效与赔付影响",MONITORING
P0,2026-09-15,A230/10000047220568,"唯一广告商机为1双；非L1+；来源路径为待审搜鞋网",标记HOLD_SOURCE并禁止供货承诺,"在线询盘不证明自有工厂货或可供样",HOLD_SOURCE_REVIEW
P0,2026-09-15,L1026/1601825074604,"14广告点击8个L1+点击0广告商机；产品参谋有3询盘人数",继续永久只读并分析广告搜索词匹配,"不得修改标题关键词M1价格详情",PROTECT_SOURCE
P0,2026-09-21,投放商品池,"当前134条；保效最低50条；历史同货号多链接",收敛为50到60条来源已确认且类目正确的商品,"排除HOLD_SOURCE与HOLD_CATEGORY_SCOPE；每鞋型优先1条主投",READY_AFTER_LOCK
P0,2026-09-21,投放地域,"当前97个；平台最低60个；仅1天42点击",收敛为60到70个目标及观察地域,"美国欧洲为主；不能因单个1双询价扩大市场",READY_AFTER_LOCK
P0,2026-09-21,搜索词,"品牌跑鞋女鞋等明显错配点击首屏至少约20%",建立排除词清单并转入可控的标准推广测试,"品牌和无证据功能词禁止投放",READY_AFTER_LOCK
P1,2026-09-21,BQ006-O1/1601939735063,"2广告点击1个L1+点击0商机；已有D14承接包",保留标题M1并预检M2到M6及详情前段,"只用真实SKU图片和已确认事实",READY_FOR_CONVERSION_FIX
P1,2026-09-21,BQ008-O1/1601939659415,"3广告点击0个L1+点击0商机；材料已修复",先核对真实搜索词和L1+占比再决定保留或暂停,"不以3次泛流量点击判定赢家",REVIEW
P1,2026-09-21,BQ037-H7116/1601924347721,"3广告点击1个L1+点击0商机",复核货源状态与页面承接后再决定是否留池,"未通过货源门禁不得继续推广",REVIEW
P1,2026-09-21,标准推广精准测试,"省心版泛词和错词较多",选择3到5个已验商品按核心词长尾词B2B词分组小额测试,"预算与出价需负责人确认；不投弱页面",PENDING_BUDGET_CONFIRMATION
P2,DAILY,广告漏斗,"当前CTR1.41%；L1+点击占比38.10%；商机转化率2.38%",记录曝光点击L1+点击商机及买家质量,"自然和广告口径分开；商品明细不去重",MONITORING
