priority,source_bq,source_model,product_id,link_code,source_protection,status,next_action,notes
1,BQ009,L1026,1601825074604,SOURCE,PROTECT_SOURCE,MONITORING,只读拉取同口径流量和询盘并作为扩展链接基线,逐ID基线69曝光3点击CTR4.35%访问20；当前全店排序页43曝光1点击CTR2.33%访问21询盘人数3；平台口径不混算；强流量与采购承接锚点；不得修改标题关键词主图价格详情
2,BQ009,L1026,1601939661419,BQ009-R1,N,PUBLIC_QA_PASS,PROTECT_TRAFFIC_ENTRY；D14前不改标题与Mint Green M1；D14仍有点击无询盘时优先预检已核验六图承接包,approved/Y；公开页Midsole/Outsole=Other；Mint Green M1标题四色EU35-45与询盘入口终验通过；第36周11曝光1点击CTR9.09%访问1询盘0；71张原始图已全量联系表复核并冻结M1+鞋型/系带网面/外底/四色/后跟六图候选；源款永久只读
3,BQ009,L1026,1601939675350,BQ009-W1,N,PUBLIC_QA_PASS,D7复核改版后相关曝光；Orange强M1保持；若约10仍0点击则以前段Men's Casual Walking Shoes与Breathable Mesh Lace-Up组合整组重构并核对源款同屏重叠,approved/Y；第36周18曝光0点击0访问；平台7日词显示men's casual walking shoes 47指数/4.11%CTR/卖家2；泛walking style shoes不作主意图；源款1601825074604永久只读
4,BQ009,L1026,1601939721165,BQ009-O1,N,PUBLIC_QA_PASS,PROTECT_TRAFFIC_ENTRY；D14前不改标题与All Black M1；D14仍有点击无询盘时优先预检已核验All Black六图承接包,approved/Y；公开页Midsole/Outsole=Other；All Black M1标题四色EU35-45与询盘入口终验通过；21曝光1点击CTR4.76%访问1美国访客；71张原始图已全量联系表复核并冻结M1+黑色双鞋/系带网面/外底/四色/后跟六图候选；源款永久只读
5,BQ019,A206,1601939616747,BQ019-W1,N,PUBLIC_QA_PASS,等待负责人复核2026-09-16整页视觉样板；通过后仅对本ID上传6主图+6产品详情+5公司详情并做全字段预检/回读/公开终验；标题是否同步采用方案B在提交前按当前查询意图决定,approved/Y；第36周11曝光0点击0访问0询盘；整页样板17图均1200×1200且哈希唯一；AI首图因结构漂移淘汰；源款不动
6,BQ019,A206,1601939602873,BQ019-R1,N,PUBLIC_QA_PASS,PROTECT_TRAFFIC_ENTRY；D14前不改标题与浅灰M1；D14仍有相关点击/访问且无有效询盘时使用已核验六图包替换弱M2-M6,approved/Y；浅灰首图已验收；第36周13曝光1点击CTR7.69%访问1询盘0；36张原始主图已全量复核，候选六图为18/10/5/9/24/2.jpg且无AI改鞋
7,BQ019,A206,1601939695286,BQ019-O1,N,PUBLIC_QA_PASS,D7若新增相关曝光约10仍0点击则保留白鞋深色地面M1；商品身份前置并重排M2-M6,approved/Y；当前窗口10曝光0搜索点击1访问0询盘；M1真实高对比；候选标题100字符；关键词与来源无数据；见D7第四梯队预案
8,BQ022,A2208,1601939641581,BQ022-W1,N,PUBLIC_QA_PASS,WAIT_D7；只用改版后同口径窗口；若相关曝光约10仍0点击则整组评估真实Black White Stripe高对比M1、标题前段与M2-M6,颜色修复approved/Y且公开逐色终验通过；Black White/Black White Stripe/Light Grey三色33 SKU；标题六图与询盘入口正常；源款只读
9,BQ022,A2208,1601939659468,BQ022-R1,N,PUBLIC_QA_PASS,WAIT_D7；第35周无有效样本；D7前保护现行标题和M1；到期结合来源词、相关曝光、访问和询盘承接整组判断,颜色修复approved/Y且公开逐色终验通过；三色33 SKU、六图、EU35-45与询盘入口正常
10,BQ022,A2208,1601939709218,BQ022-O1,N,PUBLIC_QA_PASS,WAIT_D7；第35周无有效样本；D7前保护现行OEM/ODM入口与条纹双鞋M1；到期结合来源结构整组判断,颜色修复approved/Y且公开逐色终验通过；三色33 SKU、六图、EU35-45与询盘入口正常
