batch_id,bq_code,source_artno,source_url,product_role,main_status,ip_status,package_images,alibaba_product_id,next_action,last_updated
2026-08-14-B,BQ032,ZX2212,https://bqgcd.sooxie.com/detail/2517215,常规楝大码系带休闲鞋,ONLINE,PASS,19,10000046653813,核验买家页并进入7/14/30天数据观察,2026-08-15
2026-08-14-B,BQ033,T5503,https://bqgcd.sooxie.com/detail/2210994,低轮廓透气系带休闲鞋,ONLINE,PASS,16,1601924345456,主商品在线保留；重复商品1601924438053现为草稿态（不在线/非审核），当前workctl无删除/下架工具，需后台手动删除草稿；主商品进入7/14/30天观察,2026-08-15
2026-08-14-B,BQ034,T5505,https://bqgcd.sooxie.com/detail/2202224,轻量套脚健步鞋,IN_REVIEW,PASS,19,11000037600317,等待审核结果，通过后进入7/14/30天数据观察,2026-08-15
2026-08-14-B,BQ035,A001,https://bqgcd.sooxie.com/detail/1689348,后空半拖针织休闲鞋,IN_REVIEW,PASS,21,10000046705043,等待审核结果，通过后进入7/14/30天数据观察,2026-08-15
2026-08-14-B,BQ036,8025,https://bqgcd.sooxie.com/detail/2049703,高帮套袜 EVA 底休闲鞋,ONLINE,PASS,28,1601924292931,已审核上线（在线总数36已含）；待回读质量分与trunk字段,2026-08-15
2026-08-14-B,BQ037,H7116,https://bqgcd.sooxie.com/detail/2040194,系带包头休闲鞋可选加绒,IN_REVIEW,PASS,24,1601924347721,中底EVA+里衬Mesh/Plush已保存；publish-draft预检通过并正式发布（草稿已消费）；审核后复验36→37、质量分、72 SKU/7颜色图/6详情图,2026-08-15
2026-08-14-B,BQ038,M889,https://bqgcd.sooxie.com/detail/2073631,厚底系带休闲鞋可选加绒,ONLINE,PASS,13,1601924732369,已审核上线（在线总数38已含）；待回读55 SKU/5颜色图/6详情图及质量分,2026-08-16
2026-08-14-B,BQ039,155,https://bqgcd.sooxie.com/detail/243736,高帮套袜分段底休闲鞋,ONLINE,PASS,19,1601924755368,已审核上线（在线总数39已含）；待回读22 SKU/2颜色图/6详情图及质量分,2026-08-16
2026-08-14-B,BQ040,1689,https://bqgcd.sooxie.com/detail/930498,MD 分段底套脚休闲鞋,IN_REVIEW,PASS,25,1601924792152,唯一草稿1601924792152经search回读纠偏后publish-draft提交（预检一次通过，草稿已消费）；审核通过后在线总数39→40；待复验21 SKU/3颜色图/6详情图及质量分,2026-08-16
2026-08-14-B,BQ041,202,https://bqgcd.sooxie.com/detail/1675251,童鞋套脚健步鞋,ASSETS_READY,PASS,23,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ042,206,https://bqgcd.sooxie.com/detail/1397685,系带针织缓震休闲鞋,ASSETS_READY,PASS,19,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ043,8008,https://bqgcd.sooxie.com/detail/2043443,系带厚底 EVA 休闲鞋,ASSETS_READY,PASS,30,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ044,811,https://bqgcd.sooxie.com/detail/1994639,低轮廓系带针织休闲鞋,ASSETS_READY,PASS,30,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ045,A012,https://bqgcd.sooxie.com/detail/1576849,男士高帮套袜休闲鞋,ASSETS_READY,PASS,12,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ046,A155,https://bqgcd.sooxie.com/detail/1538205,高帮套袜 EVA 休闲鞋,ASSETS_READY,PASS,25,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ047,A189,https://bqgcd.sooxie.com/detail/1522792,男士高帮套脚休闲鞋,ASSETS_READY,PASS,24,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ048,A212+A212-1,https://bqgcd.sooxie.com/detail/1749632,套脚休闲鞋可选加绒,ASSETS_READY,PASS_MERGED,37,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ049,A230,https://bqgcd.sooxie.com/detail/1860715,运动风系带针织休闲鞋,ASSETS_READY,PASS,26,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ050,A828,https://bqgcd.sooxie.com/detail/1756603,轻量系带针织休闲鞋,ASSETS_READY,PASS,28,,登录后回读并建唯一草稿,2026-08-14
2026-08-14-B,BQ051,K6689,https://bqgcd.sooxie.com/detail/1665897,分段胶底套脚休闲鞋,ASSETS_READY,PASS,24,,登录后回读并建唯一草稿,2026-08-14
