source_file,visual_family,color_or_scene,verified_role,use_decision,notes
1.jpg,B,Black upper + white sole,on-foot side view,USE_FAMILY_B,do not mix with grey-speckled angles
2.jpg,B,Black upper + white sole,on-foot side/front view,USE_FAMILY_B,do not mix with grey-speckled angles
3.jpg,MIXED,Grey speckled + black white sole + cream white sole,source relationship only,HOLD_COLOR_SHEET,co-location does not prove one SKU color family
4.jpg,B,Cream upper + white sole,hand-held product view,USE_FAMILY_B,
5.jpg,A,Light grey + grey lime-speckled sole,hand-held front-side view,USE_FAMILY_A,
6.jpg,A,Light grey + grey lime-speckled sole,pair side/front view,USE_FAMILY_A,
7.jpg,B,Black upper + white sole,hand-held product view,USE_FAMILY_B,
8.jpg,B,Black upper + white sole,pair side view,USE_FAMILY_B,
9.jpg,MIXED,Grey speckled + black white sole + cream white sole,source relationship only,HOLD_COLOR_SHEET,co-location does not prove one SKU color family
10.jpg,A,Light grey + grey lime-speckled sole,top and rear-side views,USE_FAMILY_A,strong multi-angle evidence
11.jpg,A,Light grey + grey lime-speckled sole,top/front and side view,USE_FAMILY_A,strong multi-angle evidence
12.jpg,A,Light grey + grey lime-speckled sole,pair three-quarter view,USE_FAMILY_A,
13.jpg,B,Black upper + white sole,rear-side pair view,USE_FAMILY_B,
14.jpg,B,Black upper + white sole,pair three-quarter view,USE_FAMILY_B,
15.jpg,B,Cream upper + white sole,top/side composition,USE_FAMILY_B,not an outsole-bottom image
16.jpg,B,Cream upper + white sole,rear/front pair view,USE_FAMILY_B,
17.jpg,B,Cream upper + white sole,pair three-quarter view,USE_FAMILY_B,
18.jpg,A,Light grey + grey lime-speckled sole,white-background complete shoe,USE_FAMILY_A,strong hero candidate
19.jpg,B,Cream upper + white sole,white-background complete shoe,USE_FAMILY_B,strong cream hero candidate
20.jpg,B,Black upper + white sole,white-background complete shoe,USE_FAMILY_B,strong black hero candidate
21.jpg,B,Black upper + white sole,white-background complete shoe,USE_FAMILY_B,alternate black hero candidate
22.jpg,B,Cream upper + white sole,white-background complete shoe,USE_FAMILY_B,alternate cream hero candidate
23.jpg,A,Light grey + grey lime-speckled sole,white-background complete shoe,USE_FAMILY_A,strong hero candidate
24.jpg,A,Light grey + grey lime-speckled sole,on-foot lifestyle view,USE_FAMILY_A,
25.jpg,MIXED,Holding black and cream while wearing grey,source relationship only,HOLD_COLOR_SHEET,does not prove identical construction
26.jpg,A,Light grey + grey lime-speckled sole,on-foot top view,USE_FAMILY_A,
27.jpg,A,Light grey + grey lime-speckled sole,on-foot pair view,USE_FAMILY_A,
28.jpg,A,Light grey + grey lime-speckled sole,two-person walking scene,USE_FAMILY_A,
29.jpg,A,Light grey + grey lime-speckled sole,on-foot side view,USE_FAMILY_A,
30.jpg,B,Cream upper + white sole,on-foot top view,USE_FAMILY_B,
31.jpg,B,Cream upper + white sole,on-foot crossed-leg view,USE_FAMILY_B,
32.jpg,B,Cream upper + white sole,on-foot side view,USE_FAMILY_B,
33.jpg,B,Cream upper + white sole,seated lifestyle view,USE_FAMILY_B,
34.jpg,B,Cream upper + white sole,two-person walking scene,USE_FAMILY_B,
35.jpg,B,Black upper + white sole,on-foot three-quarter view,USE_FAMILY_B,
36.jpg,B,Black upper + white sole,on-foot front view,USE_FAMILY_B,
