source_order,source_bq,source_artno,link_code,model_number,buyer_intent,keyword_cluster,title,primary_color,hero_angle,hero_source_anchor,main_image_roles,detail_focus,source_main_count,source_detail_count,source_color_count,facts_source,asset_folder,image_status,cdn_status,excel_status
1,BQ001,BQ001,BQ001-W1,BQ001-W1 / BQ001,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Slip-On Wide Toe Box Walking Shoes Lightweight EVA Sole for Importers and Wholesalers,Black White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",5,7,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
1,BQ001,BQ001,BQ001-R1,BQ001-R1 / BQ001,Travel and Commuting Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Slip-On Wide Toe Box Walking Travel and Commuting Collection for Online Sellers,All Black,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1\01_主图\02_toe.jpg,hero | differentiator | construction | use scene | color | order support,"travel, commuting and daily-casual footwear buyers, use scenario, visible comfort structure, color collection",5,7,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
1,BQ001,BQ001,BQ001-O1,BQ001-O1 / BQ001,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Slip-On Wide Toe Box Walking Shoes Factory Supply for Brand Buyers,White,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1\01_主图\03_walk.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",5,7,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ001_数据包1,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
2,BQ002,BQ002,BQ002-W1,BQ002-W1 / BQ002,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Lightweight Knit Slip-On Wide Toe Box Walking Shoes EVA Sole Casual for Importers and Wholesalers,Grey White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",5,7,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
2,BQ002,BQ002,BQ002-R1,BQ002-R1 / BQ002,Travel and Commuting Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Lightweight Knit Slip-On Wide Toe Box Walking Travel and Commuting Collection for Online Sellers,Grey Black,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2\01_主图\02_toe.jpg,hero | differentiator | construction | use scene | color | order support,"travel, commuting and daily-casual footwear buyers, use scenario, visible comfort structure, color collection",5,7,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
2,BQ002,BQ002,BQ002-O1,BQ002-O1 / BQ002,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Lightweight Knit Slip-On Wide Toe Box Walking Shoes EVA Sole Factory Supply for Brand Buyers,Grey Khaki,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2\01_主图\03_walk.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",5,7,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ002_数据包2,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
3,BQ003,R1218,BQ003-W1,BQ003-W1 / R1218,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Lace-Up Walking Shoes R1218 Lightweight EVA Sole Casual for Importers and Wholesalers,White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",5,4,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
3,BQ003,R1218,BQ003-R1,BQ003-R1 / R1218,Daily Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Lace-Up Walking Shoes R1218 Lightweight Daily Walking Collection for Online Sellers,Grey,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218\01_主图\02_grey.jpg,hero | differentiator | construction | use scene | color | order support,"walking, commuting and casual footwear buyers, use scenario, visible comfort structure, color collection",5,4,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
3,BQ003,R1218,BQ003-O1,BQ003-O1 / R1218,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Lace-Up Walking Shoes R1218 Lightweight EVA Factory Supply for Brand Buyers,Pink,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218\01_主图\03_pink.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",5,4,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ003_R1218,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
4,BQ004,A502,BQ004-W1,BQ004-W1 / A502,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model A502 for Importers and Wholesalers,Grey Black,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",6,6,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
4,BQ004,A502,BQ004-R1,BQ004-R1 / A502,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model A502 Casual Walking Collection for Online Sellers,Grey Black,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502\01_主图\02_orange.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",6,6,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
