Product Code,Model,Product Group,Local Evidence Score 100,Tier,Biggest Problem,Priority Action,P4P Candidate,Pause/Merge Risk,Pending Confirmations
BQ001_数据包1,,,26,E,"No listing form, no detail page, no attributes; only 5 main images exist.","Rebuild listing form, add detail page, attributes, inquiry CTA; verify if this is a wide toe box strategic product.","After repair only","High duplicate risk with BQ002 until product difference is documented","Title, group, model, size range, material, MOQ, sample time, lead time, packing"
BQ002_数据包2,,,26,E,"No listing form, no detail page, no attributes; only 5 main images exist.","Rebuild listing form, add detail page, attributes, inquiry CTA; document difference from BQ001.","After repair only","High duplicate risk with BQ001 until product difference is documented","Title, group, model, size range, material, MOQ, sample time, lead time, packing"
BQ003_R1218,R1218,Breathable Knit Casual Shoes,58,B,"Only 5 main images, 4 detail images, no SKU color images, no final video.","Add color/SKU images, order-support detail module, inquiry CTA, and duplicate check versus BQ005/BQ020.","No","Similar to breathable knit lace-up products","Outsole material, weight, full-size/color availability"
BQ004_A502,A502,Breathable Knit Casual Shoes,62,B,"Detail page is thin and no SKU color image folder; no video.","Add SKU color images, OEM/order-support module, and clarify slip-on lightweight angle.","Maybe","Potential overlap with BQ007/BQ011/BQ013 slip-on products","Outsole material, weight evidence, packing, MOQ"
BQ005_A503,A503,Breathable Knit Casual Shoes,60,B,"Similar to BQ003 breathable knit lace-up direction; detail page only 4 images.","Clarify real difference from BQ003; add color images and order-support module.","No","Duplicate risk with BQ003/BQ020","Outsole material, weight, color/size availability"
BQ006_M8811,M8811,Winter Casual Walking Shoes,60,B,"Size range not extracted/needs confirmation; winter/fleece claim needs proof.","Confirm size and fleece options; add color/SKU images and winter proof module.","Maybe later","Possible overlap with BQ015 winter lace-up","Size range, fleece availability, outsole, lining, MOQ"
BQ007_L0017,L0017,Slip-On Walking Shoes,59,B,"Only 5 main images and 4 detail images; no SKU color images; material uncertainty.","Add SKU colors, 6th buyer-decision image, and confirm EVA/PEBA wording before publishing.","Maybe later","Overlap with slip-on products if not differentiated","Outsole/midsole material, packing, MOQ"
BQ008_L1009,L1009,Athletic Running Shoes,57,C,"Running shoe direction is outside current wide toe box comfort walking core.","Keep as supplemental; do not spend P4P before core walking products are tested.","No","Overlap with BQ009 and weak core-positioning fit","Category strategy, outsole, target buyer scenario"
BQ009_L1026,L1026,Athletic Running Shoes,55,C,"Running shoe direction overlaps with BQ008 and is outside core positioning.","Merge/weaken or keep as store supplement; avoid P4P now.","No","Duplicate risk with BQ008","Category strategy, outsole, target buyer scenario"
BQ010_R1601,R1601,Canvas Casual Shoes,57,C,"Canvas/skate direction is not Beiqiang's current main comfort walking positioning.","Keep as supplemental; avoid ad spend unless data proves demand.","No","Low strategic fit; not duplicate but weak focus","Outsole, category, buyer scenario"
BQ011_A002,A002,Men Slip-On Walking Shoes,66,B,"Only 4 detail images; no final video; could overlap with other slip-on men products.","Add order-support/FAQ detail modules and compare against BQ024.","Maybe","Overlap with BQ024 men slip-on","Outsole/midsole, lining, men's-only positioning, MOQ"
BQ012_M8506,M8506,Breathable Knit Sneakers,70,B,"Good asset completeness but size range EU39-44 may limit buyer reach; not explicitly wide toe.","Confirm size range and decide whether it is a core walking product or support item.","Maybe","Overlap with knit lace-up products","Size range, outsole, weight claim, MOQ"
BQ013_T55836,T55836,Soft Slip-On Walking Shoes,68,B,"Size range missing; slip-on loafer wording may blur product positioning.","Confirm size range and tighten title around soft slip-on walking shoes.","Maybe later","Overlap with BQ023/BQ025 soft slip-on products","Size range, outsole, lining, buyer gender"
BQ014_A507,A507,Winter Slip-On Walking Shoes,70,B,"Winter/fleece claim needs confirmation; duplicate risk with winter slip-on products.","Confirm fleece availability and differentiate from BQ021/BQ028 by upper/sole/opening.","Maybe later","Overlap with BQ021/BQ028","Fleece availability, outsole, lining, MOQ"
BQ015_R1811,R1811,Winter Casual Walking Shoes,71,B,"Winter lace-up direction is useful but needs material/fleece confirmation.","Confirm fleece and outsole; add stronger winter comfort proof if true.","Maybe later","Overlap with BQ006 winter lace-up","Fleece availability, outsole, lining, MOQ"
BQ016_201,201,Kids Slip-On Walking Shoes,72,C,"Assets are complete, but kids direction is outside current adult comfort walking positioning.","Keep as category supplement unless buyer demand appears; avoid first P4P round.","No","Strategic fit risk rather than duplicate risk","Kids category, safety/compliance wording, size range, MOQ"
BQ017_A008,A008,Quilted Casual Walking Shoes,74,A,"No final product video; not explicitly wide toe box, but visual differentiation is clear.","Use as first visual-difference P4P candidate after confirming outsole/MOQ/lead time.","Yes","Low duplicate risk","Outsole/midsole, lining, MOQ, lead time, packing"
BQ018_A116,A116,Lightweight Knit Walking Shoes,72,B,"Good assets but overlaps with other knit lace-up walking shoes.","Differentiate by men's daily walking angle or move behind stronger products.","Maybe","Overlap with BQ019/BQ026/BQ027","Outsole, lining, MOQ, lead time"
BQ019_A206,A206,Breathable Knit Casual Shoes,72,B,"Good assets but product angle is generic breathable knit lace-up.","Use only if title/main image are sharpened around breathable upper and men/women supply.","Maybe","Overlap with BQ018/BQ026/BQ027","Outsole, lining, MOQ, lead time"
BQ020_A218,A218,Summer Breathable Walking Shoes,73,A,"No final video; otherwise strong summer hollow/breathable differentiation.","Make it a first-round summer breathable P4P candidate.","Yes","Moderate overlap with BQ003/BQ005 but clearer seasonal angle","Outsole, lining, MOQ, lead time"
BQ021_K6212,K6212,Winter Slip-On Walking Shoes,72,B,"Winter/fleece wording needs proof and overlaps with other winter slip-on products.","Confirm fleece and distinguish by opening/upper/sole before ads.","Maybe later","Overlap with BQ014/BQ028","Fleece, outsole, lining, MOQ"
BQ022_A2208,A2208,Striped Knit Slip-On Shoes,74,A,"No final video; otherwise striped knit slip-on has clear visual difference.","Use as first-round slip-on P4P candidate.","Yes","Low-medium; must distinguish from generic slip-ons","Outsole, lining, MOQ, lead time"
BQ023_A505,A505,Soft Slip-On Walking Shoes,72,B,"Good assets but soft slip-on angle overlaps with other low-cut slip-ons.","Use as backup P4P if BQ022/BQ025 underperform; clarify soft upper proof.","Maybe","Overlap with BQ013/BQ025","Outsole, lining, MOQ, lead time"
BQ024_A830,A830,Men Slip-On Walking Shoes,72,B,"Men slip-on product overlaps with BQ011; not first priority unless men's data appears.","Compare with BQ011 and keep the stronger main image/title as the promoted page.","Maybe later","Overlap with BQ011","Outsole, lining, MOQ, lead time"
BQ025_A1689,A1689,Low Cut Slip-On Walking Shoes,72,B,"Good assets but low-cut slip-on angle must be sharper to avoid generic product feel.","Potential P4P backup with low-cut/easy-wear angle.","Maybe","Overlap with BQ013/BQ023","Outsole, lining, MOQ, lead time"
BQ026_T5828,T5828,Lightweight Knit Walking Shoes,71,B,"Title uses 177g; weight claim must be confirmed by source evidence before promotion.","Confirm weight evidence or remove 177g from title; then test lightweight angle.","Maybe after edit","Overlap with knit lace-up products","Weight evidence, outsole, lining, MOQ"
BQ027_K6116,K6116,Knit Casual Walking Shoes,72,B,"Good assets but generic knit lace-up/chunky sole angle overlaps with others.","Keep as supporting style unless data favors chunky sole terms.","Maybe later","Overlap with BQ012/BQ018/BQ019/BQ026","Outsole, lining, MOQ, lead time"
